<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
131;APAREC B1-unit3;0;0;FALSE;FALSE;745
132;APAREC B1-unit4;0;0;FALSE;FALSE;120
133;SUZANO MA;0.0;0;FALSE;FALSE;3600
134;ANGRA 2;0;0;FALSE;FALSE;96
135;ANGRA 1;640.0;1;FALSE;FALSE;2499
136;CRIST.ROCHA-unit1;17.1;1;FALSE;FALSE;181
137;CRIST.ROCHA-unit2;17.1;1;FALSE;FALSE;846
138;CRIST.ROCHA-unit3;0;0;FALSE;FALSE;96
139;CRIST.ROCHA-unit4;13.699999999999998;1;FALSE;FALSE;846
140;CRIST.ROCHA-unit5;17.1;1;FALSE;FALSE;1058
141;TAMBAQUI-unit1;0;0;FALSE;FALSE;1702
142;TAMBAQUI-unit2;26.899999999999995;1;FALSE;FALSE;4840
143;TAMBAQUI-unit3;36.1;1;FALSE;FALSE;3984
144;MARACANAU-unit1;0;0;FALSE;FALSE;4029
145;MARACANAU-unit2;0;0;FALSE;FALSE;6716
146;MARACANAU-unit3;0;0;FALSE;FALSE;4029
147;MARACANAU-unit4;0;0;FALSE;FALSE;4029
148;MARACANAU-unit5;0;0;FALSE;FALSE;4029
149;MARACANAU-unit6;0;0;FALSE;FALSE;4029
150;MARACANAU-unit7;0;0;FALSE;FALSE;4029
151;MARACANAU-unit8;0;0;FALSE;FALSE;4029
152;T.NORDESTE-unit1;0;0;FALSE;FALSE;2424
153;T.NORDESTE-unit2;0;0;FALSE;FALSE;4221
154;T.NORDESTE-unit3;0;0;FALSE;FALSE;2424
155;T.PARAIBA-unit1;0;0;FALSE;FALSE;2417
156;T.PARAIBA-unit2;0;0;FALSE;FALSE;2983
157;T.PARAIBA-unit3;0;0;FALSE;FALSE;2424
158;GERAMAR I-unit1;0;0;FALSE;FALSE;6716
159;GERAMAR I-unit2;0;0;FALSE;FALSE;6716
160;GERAMAR I-unit3;0;0;FALSE;FALSE;6716
161;GERAMAR I-unit4;0;0;FALSE;FALSE;6716
162;GERAMAR I-unit5;0.0;0;FALSE;FALSE;3600
163;GERAMAR I-unit6;0.0;0;FALSE;FALSE;3600
164;GERAMAR I-unit7;0.0;0;FALSE;FALSE;3600
165;GERAMAR I-unit8;0.0;0;FALSE;FALSE;3600
166;GERAMAR I-unit9;0.0;0;FALSE;FALSE;3600
167;GERAMAR I-unit10;0.0;0;FALSE;FALSE;3600
168;GERAMAR I-unit11;0.0;0;FALSE;FALSE;3600
169;GERAMAR I-unit12;0.0;0;FALSE;FALSE;3600
170;GERAMAR I-unit13;0.0;0;FALSE;FALSE;3600
171;GERAMAR I-unit14;0.0;0;FALSE;FALSE;3600
172;GERAMAR I-unit15;0.0;0;FALSE;FALSE;3600
173;GERAMAR I-unit16;0.0;0;FALSE;FALSE;3600
174;GERAMAR I-unit17;0.0;0;FALSE;FALSE;3600
175;GERAMAR I-unit18;0.0;0;FALSE;FALSE;3600
176;GERAMAR I-unit19;0.0;0;FALSE;FALSE;3600
177;GERAMAR II-unit1;0;0;FALSE;FALSE;6716
178;GERAMAR II-unit2;0;0;FALSE;FALSE;6716
179;GERAMAR II-unit3;0;0;FALSE;FALSE;6716
180;GERAMAR II-unit4;0;0;FALSE;FALSE;6716
181;GERAMAR II-unit5;0.0;0;FALSE;FALSE;3600
182;GERAMAR II-unit6;0.0;0;FALSE;FALSE;3600
183;GERAMAR II-unit7;0.0;0;FALSE;FALSE;3600
184;GERAMAR II-unit8;0.0;0;FALSE;FALSE;3600
185;GERAMAR II-unit9;0.0;0;FALSE;FALSE;3600
186;GERAMAR II-unit10;0.0;0;FALSE;FALSE;3600
187;GERAMAR II-unit11;0.0;0;FALSE;FALSE;3600
188;GERAMAR II-unit12;0.0;0;FALSE;FALSE;3600
189;GERAMAR II-unit13;0.0;0;FALSE;FALSE;3600
190;GERAMAR II-unit14;0.0;0;FALSE;FALSE;3600
191;GERAMAR II-unit15;0.0;0;FALSE;FALSE;3600
192;GERAMAR II-unit16;0.0;0;FALSE;FALSE;3600
193;GERAMAR II-unit17;0.0;0;FALSE;FALSE;3600
194;GERAMAR II-unit18;0.0;0;FALSE;FALSE;3600
195;GERAMAR II-unit19;0.0;0;FALSE;FALSE;3600
196;UTE VIANA-unit1;0;0;FALSE;FALSE;4600
197;UTE VIANA-unit2;0;0;FALSE;FALSE;4576
198;UTE VIANA-unit3;0;0;FALSE;FALSE;4576
199;UTE VIANA-unit4;0;0;FALSE;FALSE;4576
200;CAMPINA GRAN-unit1;0;0;FALSE;FALSE;4029
201;CAMPINA GRAN-unit2;0;0;FALSE;FALSE;4029
202;CAMPINA GRAN-unit3;0;0;FALSE;FALSE;4029
203;CAMPINA GRAN-unit4;0;0;FALSE;FALSE;4029
204;SUAPE 2-unit1;0;0;FALSE;FALSE;6716
