<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
200;CAMPINA GRAN-unit1;0;0;FALSE;FALSE;1533
201;CAMPINA GRAN-unit2;0;0;FALSE;FALSE;1533
202;CAMPINA GRAN-unit3;0;0;FALSE;FALSE;1533
203;CAMPINA GRAN-unit4;0;0;FALSE;FALSE;1533
204;SUAPE 2-unit1;0;0;FALSE;FALSE;4220
205;SUAPE 2-unit2;0;0;FALSE;FALSE;4220
206;SUAPE 2-unit3;0;0;FALSE;FALSE;4220
207;SUAPE 2-unit4;0;0;FALSE;FALSE;4220
208;SUAPE 2-unit5;0;0;FALSE;FALSE;4220
209;SUAPE 2-unit6;0;0;FALSE;FALSE;4220
210;SUAPE 2-unit7;0;0;FALSE;FALSE;4220
211;SUAPE 2-unit8;0;0;FALSE;FALSE;4220
212;SUAPE 2-unit9;0;0;FALSE;FALSE;4220
213;SUAPE 2-unit10;0;0;FALSE;FALSE;4220
214;SUAPE 2-unit11;0;0;FALSE;FALSE;4220
215;SUAPE 2-unit12;0;0;FALSE;FALSE;4220
216;SUAPE 2-unit13;0;0;FALSE;FALSE;4220
217;SUAPE 2-unit14;0;0;FALSE;FALSE;4220
218;SUAPE 2-unit15;0;0;FALSE;FALSE;4220
219;SUAPE 2-unit16;0;0;FALSE;FALSE;4220
220;SUAPE 2-unit17;0;0;FALSE;FALSE;4220
221;GLOBAL I-unit1;0;0;FALSE;FALSE;312
222;GLOBAL I-unit2;0;0;FALSE;FALSE;312
223;GLOBAL I-unit3;0;0;FALSE;FALSE;312
224;GLOBAL I-unit4;0;0;FALSE;FALSE;312
225;GLOBAL II-unit1;0;0;FALSE;FALSE;4220
226;GLOBAL II-unit2;0;0;FALSE;FALSE;312
227;GLOBAL II-unit3;0;0;FALSE;FALSE;1652
228;GLOBAL II-unit4;0;0;FALSE;FALSE;312
229;IGARAPE;0;0;FALSE;FALSE;3049
230;CAMACARI MI-unit1;0;0;FALSE;FALSE;3441
231;CAMACARI MI-unit2;0;0;FALSE;FALSE;3888
232;CAMACARI MI-unit3;0;0;FALSE;FALSE;3418
233;CAMACARI MI-unit4;0;0;FALSE;FALSE;3419
234;MAUA 3-unit1;189.6;1;FALSE;FALSE;23
235;MAUA 3-unit2;100.0;1;FALSE;FALSE;23
236;MAUA 3-unit3;0.0;0;FALSE;FALSE;3600
237;PERNAMBUCO3-unit1;0;0;FALSE;FALSE;169
238;PERNAMBUCO3-unit2;0;0;FALSE;FALSE;1534
239;PERNAMBUCO3-unit3;0;0;FALSE;FALSE;168
240;PERNAMBUCO3-unit4;0;0;FALSE;FALSE;169
241;PALMEIRAS-unit1;0;0;FALSE;FALSE;4220
242;PALMEIRAS-unit2;0;0;FALSE;FALSE;4220
243;GOIANIA 2-unit1;0;0;FALSE;FALSE;4220
244;GOIANIA 2-unit2;0;0;FALSE;FALSE;4220
245;PETROLINA(L)-unit1;0;0;FALSE;FALSE;3888
246;PETROLINA(L)-unit2;0;0;FALSE;FALSE;3888
247;PETROLINA(L)-unit3;0;0;FALSE;FALSE;3888
248;PETROLINA(L)-unit4;0;0;FALSE;FALSE;3888
249;PETROLINA(L)-unit5;0;0;FALSE;FALSE;3888
250;PETROLINA(L)-unit6;0;0;FALSE;FALSE;3888
251;PETROLINA(L)-unit7;0;0;FALSE;FALSE;3888
252;PETROLINA(L)-unit8;0;0;FALSE;FALSE;3888
253;P.FERRO-unit1;0;0;FALSE;FALSE;1534
254;P.FERRO-unit2;0;0;FALSE;FALSE;1534
255;P.FERRO-unit3;0;0;FALSE;FALSE;1534
256;P.FERRO-unit4;0;0;FALSE;FALSE;1534
257;P.FERRO-unit5;0;0;FALSE;FALSE;1534
258;P.FERRO-unit6;0;0;FALSE;FALSE;1534
259;P.FERRO-unit7;0;0;FALSE;FALSE;1534
260;T.MANAUS-unit1;0;0;FALSE;FALSE;1534
261;T.MANAUS-unit2;0;0;FALSE;FALSE;1534
262;T.MANAUS-unit3;0;0;FALSE;FALSE;1534
263;T.MANAUS-unit4;0;0;FALSE;FALSE;1534
264;T.MANAUS-unit5;0;0;FALSE;FALSE;1534
265;T.MANAUS-unit6;0;0;FALSE;FALSE;1534
266;T.MANAUS-unit7;0;0;FALSE;FALSE;1534
267;T.MANAUS-unit8;0;0;FALSE;FALSE;1534
268;T.MANAUS-unit9;0;0;FALSE;FALSE;1534
269;T.MANAUS-unit10;0;0;FALSE;FALSE;1534
270;T.MANAUS-unit11;0;0;FALSE;FALSE;1534
271;T.MANAUS-unit12;0;0;FALSE;FALSE;1534
272;ATLANTICO-unit1;0.0;0;FALSE;FALSE;3600
273;ATLANTICO-unit2;0.0;0;FALSE;FALSE;3600
274;ATLANTICO 2;0.0;0;FALSE;FALSE;3600
275;S.CRUZ 34-unit1;0;0;FALSE;FALSE;4220
276;S.CRUZ 34-unit2;0;0;FALSE;FALSE;4220
277;S.CRUZ NV-unit1;0;0;FALSE;FALSE;89
278;S.CRUZ NV-unit2;175.0;1;FALSE;FALSE;528
279;PIRATININGA 12-unit1;0;0;FALSE;FALSE;4220
280;PIRATININGA 12-unit2;0;0;FALSE;FALSE;4220
281;CAMPOS-unit1;0;0;FALSE;FALSE;4220
282;CAMPOS-unit2;0;0;FALSE;FALSE;4220
283;DAIA-unit1;0;0;FALSE;FALSE;4220
284;DAIA-unit2;0;0;FALSE;FALSE;4220
285;DAIA-unit3;0;0;FALSE;FALSE;4220
286;STA VITORIA;0;0;FALSE;FALSE;816
287;XAVANTES-unit1;0;0;FALSE;FALSE;3890
288;XAVANTES-unit2;0;0;FALSE;FALSE;3890
289;ALTOS;0;0;FALSE;FALSE;4220
290;ARACATI;0;0;FALSE;FALSE;4220
291;BAHIA-unit1;0;0;FALSE;FALSE;312
292;BAHIA-unit2;0;0;FALSE;FALSE;312
293;BAHIA-unit3;0;0;FALSE;FALSE;312
294;BATURITE;0;0;FALSE;FALSE;4220
295;IGUATU;0;0;FALSE;FALSE;4220
296;JUAZEIRO N;0;0;FALSE;FALSE;4220
297;MARAMBAIA;0;0;FALSE;FALSE;4220
298;MURICY-unit1;0;0;FALSE;FALSE;1652
299;MURICY-unit2;0;0;FALSE;FALSE;3888
300;MURICY-unit3;0;0;FALSE;FALSE;1652
301;MURICY-unit4;0;0;FALSE;FALSE;3888
302;MURICY-unit5;0;0;FALSE;FALSE;1652
303;MURICY-unit6;0;0;FALSE;FALSE;1652
304;MURICY-unit7;0;0;FALSE;FALSE;1652
305;MURICY-unit8;0;0;FALSE;FALSE;3888
306;NAZARIA;0;0;FALSE;FALSE;4220
307;PSERGIPE I-gas1;0.0;0;FALSE;FALSE;3600
308;PSERGIPE I-gas2;0.0;0;FALSE;FALSE;3600
309;PSERGIPE I-gas3;0.0;0;FALSE;FALSE;3600
310;PSERGIPE I-steam;0.0;0;FALSE;FALSE;3600
311;POTIGUAR-unit1;0;0;FALSE;FALSE;1534
312;POTIGUAR-unit2;0;0;FALSE;FALSE;1534
313;POTIGUAR-unit3;0;0;FALSE;FALSE;1534
314;POTIGUAR-unit4;0;0;FALSE;FALSE;1534
315;POTIGUAR_3-unit1;0;0;FALSE;FALSE;1534
316;POTIGUAR_3-unit2;0;0;FALSE;FALSE;1534
317;POTIGUAR_3-unit3;0;0;FALSE;FALSE;1534
318;POTIGUAR_3-unit4;0;0;FALSE;FALSE;1534
319;POTIGUAR_3-unit5;0;0;FALSE;FALSE;1534
320;POTIGUAR_3-unit6;0;0;FALSE;FALSE;1654
321;PROSPERIDA-unit1;0;0;FALSE;FALSE;167
322;PROSPERIDA-unit2;0;0;FALSE;FALSE;167
323;PROSPERIDA-unit3;0;0;FALSE;FALSE;222
324;SYKUE I;0;0;FALSE;FALSE;144
325;TERMOCABO-unit1;0;0;FALSE;FALSE;1652
326;TERMOCABO-unit2;0;0;FALSE;FALSE;1652
327;TERMOCABO-unit3;0;0;FALSE;FALSE;1652
328;PARNAIB_IV;0;0;FALSE;FALSE;791
</Thermal plants>
</END>
