<BEGIN>;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
35;G35-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
36;G36-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
37;G37-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
38;G38-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
39;G39-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
40;G40-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
41;G41-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
42;G42-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
43;G43-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
44;G44-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
45;G45-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6888;11;69;227.2;568;Turbine;0;6888;The group has been changed after network reduction
46;G46-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6888;11;69;227.2;568;Turbine;0;6888;The group has been changed after network reduction
47;G47-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6888;11;69;227.2;568;Turbine;0;6888;The group has been changed after network reduction
48;G48-STO ANTONIO230;5;STO ANTONIO;1;5 blades;6892;11;69;227.2;568;Turbine;0;6892;The group has been changed after network reduction
