<BEGIN>;;;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Bus name;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
63;G11-TUCURUI;2;TUCURUI;2;Group 2;6424;name;203;350;349.2;582;Francis;Turbine;0;6424;The group has been changed after network reduction
64;G12-TUCURUI;2;TUCURUI;2;Group 2;6424;name;203;350;349.2;582;Francis;Turbine;0;6424;The group has been changed after network reduction
65;G13-TUCURUI;2;TUCURUI;2;Group 2;6424;name;203;350;349.2;582;Francis;Turbine;0;6424;The group has been changed after network reduction
66;G14-TUCURUI;2;TUCURUI;2;Group 2;6424;name;203;350;349.2;582;Francis;Turbine;0;6424;The group has been changed after network reduction
67;G15-TUCURUI;2;TUCURUI;3;Group 3;6420;name;300;390;397.2;662;Francis;Turbine;0;6420;
68;G16-TUCURUI;2;TUCURUI;3;Group 3;6420;name;300;390;397.2;662;Francis;Turbine;0;6420;
69;G17-TUCURUI;2;TUCURUI;3;Group 3;6420;name;300;390;397.2;662;Francis;Turbine;0;6420;
70;G18-TUCURUI;2;TUCURUI;3;Group 3;6424;name;300;390;397.2;662;Francis;Turbine;0;6424;The group has been changed after network reduction
71;G19-TUCURUI;2;TUCURUI;3;Group 3;6424;name;300;390;397.2;662;Francis;Turbine;0;6424;The group has been changed after network reduction
72;G20-TUCURUI;2;TUCURUI;3;Group 3;6424;name;300;390;397.2;662;Francis;Turbine;0;6424;The group has been changed after network reduction
73;G21-TUCURUI;2;TUCURUI;3;Group 3;6424;name;300;390;397.2;662;Francis;Turbine;0;6424;The group has been changed after network reduction
74;G22-TUCURUI;2;TUCURUI;3;Group 3;6425;name;300;390;397.2;662;Francis;Turbine;0;6425;The group has been changed after network reduction
75;G23-TUCURUI;2;TUCURUI;3;Group 3;6425;name;300;390;397.2;662;Francis;Turbine;0;6425;The group has been changed after network reduction
76;G24-TUCURUI;2;TUCURUI;3;Group 3;6425;name;300;390;397.2;662;Francis;Turbine;0;6425;The group has been changed after network reduction
77;G25-TUCURUI;2;TUCURUI;3;Group 3;6425;name;300;390;397.2;662;Francis;Turbine;0;6425;The group has been changed after network reduction
78;G1-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
79;G2-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
80;G3-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
81;G4-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
82;G5-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
83;G6-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
84;G7-BELO MONTE;3;BELO MONTE;1;Group 1;6729;name;450;611.1;600;768.4;Francis;Turbine;0;6729;
