<BEGIN>;;;;;;
<Buses>;;;;;;
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
277;ZIN----RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
278;PALMAR-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
279;BRAHMA-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
281;RETIRO-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
282;RECREI-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
283;TERM.S-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
284;F.CANE-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
285;C.SOAR-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
286;R.FREI-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
287;SARAPU-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
288;ROSALI-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
289;CAMARA-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
290;SAMARI-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
291;PMETR1-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
292;PMETR2-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
293;CAMOR--RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
294;SANTIS-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
295;SEROPE-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
296;S.BRANUHE002;;1.3;40;SUDESTE/CENTRO-OESTE;1
297;S.BRAN-RJ088;;88;40;SUDESTE/CENTRO-OESTE;1
298;FORJAS-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
299;SMESA2-GO500;;500;63;SUDESTE/CENTRO-OESTE;1
300;EMBORCUHE002;;1.3;2;SUDESTE/CENTRO-OESTE;1
301;JAGUARUHE001;;1.3;2;SUDESTE/CENTRO-OESTE;1
302;NPONTEUHE001;;1.3;2;SUDESTE/CENTRO-OESTE;1
303;SSIMAOUHE003;;1.3;2;SUDESTE/CENTRO-OESTE;1
304;T.MAR-UHE001;;1.3;2;SUDESTE/CENTRO-OESTE;1
305;V.GRD-UHE001;;1.3;2;SUDESTE/CENTRO-OESTE;1
306;GUILMAUHE001;;1.3;2;SUDESTE/CENTRO-OESTE;1
307;AVATI-PCH138;;138;3;SUDESTE/CENTRO-OESTE;1
308;BARBAC-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
309;BARBA-PCH138;;138;3;SUDESTE/CENTRO-OESTE;1
312;MIRANDUHE001;;1.3;3;SUDESTE/CENTRO-OESTE;1
313;BARREI-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
314;BARREI-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
315;BARRE-SIN001;;1.2;2;SUDESTE/CENTRO-OESTE;1
316;BARRE2-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
317;SOBRAGUHE003;;1.3;3;SUDESTE/CENTRO-OESTE;1
318;CASSIA-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
319;CPENA--MG230;;230;2;SUDESTE/CENTRO-OESTE;1
320;EMBORC-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
321;EMBORC-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
322;FRUTA-BIO138;;138;3;SUDESTE/CENTRO-OESTE;1
323;ITUTIN-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
