<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
98;PIRAJU;89.87;114.09;CHAVANTES;5;TRUE;531.5;531.5;3505;Paraná;Yes;3505;0;0;0;0;0;0;
99;OURINHOS;18.68;22.34;L. N. GARCEZ;2;TRUE;398;398;3700;Paraná;No;3700;0;0;0;0;0;0;
100;L. N. GARCEZ;15.14;44.5;CANOAS II;2;TRUE;384.67;384.67;5000;Paraná;Yes;5000;0;0;0;0;0;0;
101;CANOAS II;151;151;CANOAS I;1;TRUE;366;366;5644;Paraná;Yes;5644;0;0;0;0;0;0;
102;CANOAS I;212;212;CAPIVARA;5;TRUE;351;351;5736;Paraná;Yes;5736;0;0;0;0;0;0;
103;MAUÁ;1473;2137;CAPIVARA;13;TRUE;626;635;7191.8;Paraná;Yes;7191.8;0;0;0;0;0;0;
104;SANTA CLARA - PR;169;431;FUNDÃO;2;TRUE;787.5;805;3000;Iguaçu;Yes;3000;0;0;0;0;0;0;
105;FUNDÃO;23.4;30.6;JORDÃO;2;TRUE;705.5;705.5;4000;Iguaçu;Yes;4000;0;0;0;0;0;0;
106;JORDÃO;84.9;110;SLT.SANTIAGO;1;TRUE;602;610;5000;Iguaçu;No;5000;SEGREDO;70000;0;0;0;0;
107;BAIXO IGUAÇU;187.2;211.92;0;0;TRUE;258;259;53585;Iguaçu;Yes;53585;0;0;0;0;0;0;
108;MANSO;4386;7337;0;0;FALSE;278;287;2990;Manso;Yes;2990;0;0;0;0;0;0;
109;ITIQUIRA I;4.3;5;ITIQUIRA II;0;TRUE;412;412;1500;Itiquira;No;1500;0;0;0;0;0;0;
110;ITIQUIRA II;0.3;1;0;0;TRUE;320;320;2004.82;Itiquira;Yes;2004.82;0;0;0;0;0;0;
111;PONTE PEDRA;67.5;105.9;0;0;TRUE;396;396;5000;Correntes;No;5000;0;0;0;0;0;0;
112;JAURU;16.17;17.15;0;0;TRUE;354.7;355;5000;Jauru;Yes;5000;0;0;0;0;0;0;
113;PASSO FUNDO;184;1588.61;MONJOLINHO;1;FALSE;584;598;1944;Uruguai;No;1944;0;0;0;0;0;0;
114;MONJOLINHO;139.573;150.553;FOZ DO CHAPECÓ;2;TRUE;328.5;328.5;6755;Uruguai;Yes;6755;0;0;0;0;0;0;
115;GARIBALDI;244.08;296;CAMPOS NOVOS;0;TRUE;702.5;705;10000;Uruguai;Yes;10000;0;0;0;0;0;0;
116;QUEBRA-QUEIXO;111.12;136.63;FOZ DO CHAPECÓ;12;TRUE;544;549;4999.5;Uruguai;Yes;4999.5;0;0;0;0;0;0;
117;SÃO JOSÉ;165.341;187.88;PASSO S. JOÃO;2;TRUE;154.67;154.67;5000;Ijuí;Yes;5000;0;0;0;0;0;0;
118;PASSO S. JOÃO;83.9;102.4;0;0;TRUE;128.35;128.35;11570;Ijuí;Yes;11570;0;0;0;0;0;0;
119;FOZ DO CHAPECÓ;1426.81;1501.8;0;0;TRUE;264;265;62190;Uruguai;No;62190;0;0;0;0;0;0;
120;ERNESTINA;21;258.5;PASSO REAL;1;TRUE;482.5;489.5;1300.7;Jacuí;No;1300.7;0;0;0;0;0;0;
121;PASSO REAL;1001;3357;JACUÍ;1;FALSE;300;327;4674;Jacuí;No;4674;0;0;0;0;0;0;
122;JACUÍ;4.3;28.7;ITAÚBA;1;FALSE;279.89;279.89;5032;Jacuí;Yes;5032;0;0;0;0;0;0;
123;ITAÚBA;462.2;620.3;DONA FRANCISCA;1;FALSE;184;184;7236;Jacuí;Yes;7236;0;0;0;0;0;0;
124;DONA FRANCISCA;261.7;324.5;0;0;FALSE;94.5;94.5;10614;Jacuí;Yes;10614;0;0;0;0;0;0;
125;CASTRO ALVES;87.16;91.766;MONTE CLARO;1;TRUE;239;240;5000;Taquari-Antas;No;5000;0;0;0;0;0;0;
126;MONTE CLARO;9.89;11.35;14 DE JULHO;1;TRUE;147;148;14000;Taquari-Antas;No;14000;0;0;0;0;0;0;
